施設名,住所,評価(5点満点),混雑状況,営業時間,価格,アクセス,公式HP
佐倉天然温泉　澄流（すみれ）,千葉県佐倉市染井野4-7-3,4.3点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:00更新","7時～24時（最終受付23時）
岩盤浴は7時～23時（最終受付22時）","■利用料金
入館料
【大人（中学生以上）】
平日 850円 土日祝 980円
【小人（中学生未満）】
平日 500円 土日祝 580円

岩盤浴： 500円
（岩盤浴着・敷マット付き）
※大人のみのご利用となります。

入館回数券：10枚綴り 8,000円
岩盤浴付入浴回数券：10枚綴り 12,000円

料金につきましては、消費税込みの表示となっております。",京成臼井駅より車で10分,http://www.sakurasomeino-sumire.com/
亀山温泉ホテル,千葉県君津市豊田旧菅間田65,4.1点,"[{'浴場': '非表示'}] 
 2021/07/26(月) 11:10更新",【日帰り入浴】11:30～18：00,"■利用料金

大人　　　　　　 1,000円
子供（3歳～小学生）800円
Facebookでチェックインしていただいたお客様は
タオル・バスタオルレンタル（計400円）が無料に！

回数券
06回分　 5,000円
12回分　10,000円

その他、日帰りプランもございます。
詳しくはHPご覧くださいませ。

料金につきましては、消費税込みの表示となっております。","JR久留里線終点の上総亀山駅より徒歩約12分
館山自動車道「姉崎袖ヶ浦IC」から国道410号鴨川方面へ約30KM",http://www.kameyamaonsen.jp/
市原天然温泉江戸遊（えどゆう）,千葉県市原市松ヶ島西1-3-43,4.3点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 10:11更新","9:00～24:00（最終受付23:30）
※営業時間を変更しております。
9:00～23:00
詳しくは公式サイトをご覧ください。","■利用料金
【大人（中学生以上）】
・平　日 920円
・土日祝　980円
【子供（3才～小学生】
・平　日 450円
・土日祭 500円

3歳未満は無料

【岩盤浴】
・全　日 380円（岩盤浴衣・岩盤タオル付き）
［小学生以下はご利用頂けません]

【レンタル料金】
貸しフェイスタオル：70円
貸しバスタオル：140円
レンタルタオルセット：200円 レンタル館内着：200円
料金につきましては、消費税込みの表示となっております。","JR内房線：五井駅より、小湊バス姉崎駅西口行き 「アピタ前」停留所下車 徒歩10分
館山自動車道 市原ICより国道297号線経由3km",http://www.edoyu.com/ichihara/index.html
湯楽の里 松戸店（ゆらのさと）,千葉県松戸市和名ケ谷947-3,3.7点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:02更新","通年
営業時間は変更になっている場合があります。
詳細は店舗までお問合せください。

午前9時～深夜1時　（最終受付　深夜0時30分）","■利用料金
◆入浴料
大人（中学生以上）
平日：710円（会員560円）
土・休日・特定日：810円（会員660円）
小人（0歳～小学生以下）
平日：330円（会員280円）
土・休日・特定日：380円（会員330円）
入浴回数券（会員）5,200円（10枚つづり）
料金につきましては、消費税込みの表示となっております。","新京成電鉄みのり台駅から徒歩15分
JR常磐線松戸駅東口より新京成バス「東松戸行き（工業団地経由）」または「紙敷車庫行き（工業団地経由）」乗車、「ウィズタウン前」下車、目の前
外環自動車道三郷南ＩＣより約6ｋｍ
（東京方面よりお越しの場合）
国道6号を松戸駅方面に向かい、「七畝割」信号を県道281号線に乗り換えて約1.5ｋｍ右側
（柏方面よりお越しの場合）
国道6号を松戸駅方面に向かい、「岩瀬」交差点を左折。約500ｍ進み「消防署」交差点を左折。約500ｍ右側",https://www.yurakirari.com/yura/matsudo/
市原温泉　湯楽の里（ゆらのさと）,千葉県市原市古市場329-1,4.1点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 10:03更新","通年
営業時間は変更になっている場合があります。
詳細は店舗までお問合せください。

午前9時～深夜1時（最終受付　深夜0時）","■利用料金
◆入館料
大人（中学生以上）
平日：890円（会員790円）
土・休日・特定日：990円（会員890円）
※天然温泉を使用している露天風呂をご利用になられる12歳以上のお客様は、「市原市税条例」により「入湯税」が発生致します。こちらの料金につきましては、入湯税込みの表示となっております。

小人（0歳～小学生以下）
平日：450円（会員400円）
土・休日・特定日：500円（会員450円）

◆入館回数券（会員）6,800円（10枚つづり）

※入館回数券には入湯税が含まれておりません。温泉利用をする場合はお手数ですが入湯税（50円）を別途頂戴致します。
※会員カード新規・更新作成料100円（1年間有効）即日フロントにて発行できます。
※当日は館内を出るまで何度でもご入浴いただけます。
※回数券は土・休日・特定日もご利用できます。
※回数券には有効期限がございます。有効期限は最長2年、最短1年（購入時期によって変わります。）

◆岩盤浴
楽蒸洞　　　　420円
※フリータイム制
※館内着、専用タオルを含みます。
岩盤浴回数券（会員）1,800円（5枚つづり）
料金につきましては、消費税込みの表示となっております。","ＪＲ内房線浜野駅より東口ロータリーから小湊バス「ロングウッドステーション行き」 または「喜多行き」または「菊間団地行き」に乗車、「スーパーせんどう前」下車徒歩３分
（千葉方面よりお越しの場合）京葉道路下り蘇我ＩＣより市原方面へ　古市場交差点を左折（茂原街道を茂原方面へ）、３つ目信号を右折、約400ｍ先右側
（館山方面よりお越しの場合）館山自動車道、市原ＩＣより大多喜・勝浦方面へ　　１つ目信号（市原ＩＣ東側交差点）を左折、約７キロメートル先左側",https://www.yurakirari.com/yura/ichihara/
船橋温泉 湯楽の里（ゆらのさと）,千葉県船橋市山手3-4-1,4.1点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 10:30更新","通年
営業時間は変更になっている場合があります。
詳細は店舗までお問合せください。

午前9時～深夜1時（最終受付　深夜0時）","■利用料金
◆入館料
大人（中学生以上）
平日：750円
土・休日・特定日：900円
小人（0歳～小学生以下）
平日：400円
土・休日・特定日：500円
カード入館回数券　6,800円（10回分）
◆岩盤浴（フリータイム制）
420円（岩盤浴着、大判タオル含む）
カード岩盤浴回数券　1,900円（5回分）
※回数券初回購入時のみメンバーズカード作成料100円が別途必要となります。
料金につきましては、消費税込みの表示となっております。","東武アーバンパークライン新船橋駅下車,線路沿いを塚田駅方面へ徒歩約10分
国道14号、船橋中央病院信号を行田方面に進み、2つ目の信号を右折、3つ目の信号を左折、2つ目の信号を左折し直進約1km",https://www.yurakirari.com/yura/funabashi/
酒々井温泉 湯楽の里(ゆらのさと）,千葉県印旛郡酒々井町飯積1-1-1,4.6点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 09:06更新","営業時間は変更になっている場合があります。
詳細は店舗までお問合せください。

9:00～23:00（最終受付22:00）","■利用料金
◆入館料
【大人】（中学生以上）
●ゆったりコース
（入館、フェイスタオル、レンタルバスタオル、レンタル館内着）
平日：1,230円（20時以降1,080円）
土・休日・特定日：1,380円（20時以降1,230円）
●シンプルコース（入館のみ）
平日：900円（20時以降750円）
土・休日・特定日：1,050円（20時以降900円）
【小学生】
●シンプルコース（入館のみ）
平日：520円（20時以降370円）
土・休日・特定日：670円（20時以降520円）
カード入館回数券　8,700円（10回分）／入館のみ
※回数券初回購入時のみメンバーズカード作成料100円が別途必要となります。
料金につきましては、消費税込みの表示となっております。","ＪＲ酒々井駅、京成酒々井駅より「酒々井プレミアム・アウトレット」までバス約20分
酒々井プレミアム・アウトレットより徒歩約10分
（土日祝のみ店舗までのバスあり）
東関東自動車道「酒々井IC」より約１分",https://www.yurakirari.com/yura/shisui/
JFA夢フィールド 幕張温泉 湯楽の里,千葉県千葉市美浜区美浜26（JFA夢フィールド内）,4.1点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 10:59更新","営業時間は変更になっている場合があります。
詳細は店舗までお問合せください。

9時～24時（最終受付23時）","■利用料金
大人（中学生以上）
平日　980円／土・休日・特定日　1,200円
こども（4歳～小学生）
平日　450円／土・休日・特定日　500円
※3歳以下入館無料
入館回数券
10回分　9,500円（有効期限：購入日より1年間）
岩盤浴料
平日　300円／土・休日・特定日　400円
（フリータイム制／大判タオル・岩盤浴着付）

販売タオル：150円
販売バスタオル：250円
レンタル館内着：300円
料金につきましては、消費税込みの表示となっております。","＜電車でお越しの方＞
JR海浜幕張駅より徒歩約20分
◆海浜幕張駅より無料送迎バスあり。
詳しくは公式HPにてご確認ください。
＜車でお越しの方＞
東関東自動車道
（下り）湾岸習志野ICより車で約10分
（上り）湾岸千葉ICより車で約5分",https://www.yurakirari.com/makuhari/
大江戸温泉物語 浦安万華郷（うらやすまんげきょう）,千葉県浦安市日の出7-3-12,3.3点,"[{'館内全体': 'やや空いている'}, {'男湯': '空いている'}, {'女湯': 'やや空いている'}, {'レストラン': '空いている'}] 
 2021/07/26(月) 11:00更新","日帰り入浴営業時間
11:00～24:00(最終入館 23:00)
朝風呂の利用
5:00～7:00受付、9:00閉店

11:00～翌9:00
※最終入館時刻　日～木は23:00まで
金・土・祝前日は24:00まで","■利用料金
【平日料金（タオル付）】
大人（中学生以上）　：1,888円
小人（４歳～小学生）：　858円
【土日祝料金（タオル付）】
大人（中学生以上）　：2,218円
小人（４歳～小学生）：　968円
【特定日料金（タオル付）】
大人（中学生以上）　：2,548円
小人（４歳～小学生）：1,078円
【深夜割増】　　　　　　1,980円
※ 深夜2:00以降在館の場合

特定日については公式サイトをご確認ください。

レンタル料金
館内着(大人・小人)　各385円

レンタル水着　660円／770円/ 1,210円
※サイズ 男性：S/M/L/2L　 女性：9号～17号

レンタル水着　440円
※サイズ子供：80～140cm

水遊び用おむつ(1枚)　220円
※販売品です。

水着男性　3,300円～　 女性　6,600円～
男児　2,530円～　 女児　3,850円～
※販売品です。
料金につきましては、消費税込みの表示となっております。","東京メトロ東西線 浦安駅、またはJR京葉線 新浦安駅よりタクシー利用（JR京葉線 新浦安駅、東京メトロ東西線 浦安駅・西葛西駅・葛西駅より無料シャトルバス運行）
首都高速湾岸線 浦安出口より国道357号線経由、新浦安駅方面へ10分",公式サイトをご確認ください。
天然温泉リゾート美人の湯　カーニバルヒルズ,千葉県香取市沢13-15,4.2点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/04/02(金) 17:49更新",10:00～22:00,"■利用料金
大人（レンタル品無し）930円
大人（タオルセット・館内着付）1,230円
子供（レンタル品無し、0歳～小学6年生まで）410円
足湯　500円
※ レストラン・エステ・スポーツマッサージ等、館内施設ご利用時、足湯は無料です。
※ 歯磨きセット・シャワーキャップ・ひげそり　は有料にてご用意しております。

レンタル用品
タオルセット（フェイスタオル＆バスタオル）　200円、館内着　200円

※その他、平日限定で様々なお得料金あります。
詳しくは公式HPをご覧ください。
料金につきましては、消費税込みの表示となっております。","東関東自動車道 大栄ICより約5km。約7分程度。
国道51号経由、桜田権現前の交差点から約4Km強。約6分程度。",http://carnival-onsen.com/
