施設名,住所,評価(5点満点),混雑状況,営業時間,価格,アクセス,公式HP
天然温泉 きぬの湯,茨城県常総市内守谷町きぬの里1-5-6,4.0点,"[{'館内全体': 'やや空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:00更新",（本館）9:00〜23:00（最終受付22:00）,"■利用料金
【平日】　一般　1,400円（タオル付き）
会員　1,100円（タオル付き）
小人　　500円
【土日祝日】一般　1,500円（タオル付き）
会員　1,200円（タオル付き）
小人　　600円

販売タオル　　　105円
貸しバスタオル　210円
館内着セット　　460円
※館内着、販売タオル、貸しバスタオル
■カード利用
MUFG、DC、UFJ、NICOS、VISA、MasterCard、JCB、AMERICAN EXPRESS、DISCOVERがご利用になれます。
料金につきましては、消費税込みの表示となっております。","・関東鉄道常総線 小絹駅よりタクシー利用5分
・守谷駅西口より関東鉄道路線バスきぬの里行きバス乗車「きぬの里中央」バス停下車徒歩10分
・常磐自動車道 谷和原ICより10分",http://www.kinunoyu.com/
岩盤温浴リゾート　ココプララ,茨城県東茨城郡茨城町桜の郷1100,4.6点,"[{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}, {'岩盤浴': '営業時間外'}] 
 2021/07/26(月) 11:00更新","10:00～23:00（最終受付22:00）
岩盤浴：10:00～22:30","■利用料金
入浴コース
大人：平日780円　土日祝・特定日880円
小学生：平日480円　土日祝・特定日580円
入浴・岩盤浴コース（岩盤浴衣・床敷タオル付）
平日1,280円　土日祝・特定日　1,380円
レンタルタオルセット:210円
販売フェイスタオル：110円
販売ﾊﾞｽタオル：410円
お取替え岩盤浴衣：210円
料金につきましては、消費税込みの表示となっております。","〇電車でお越しの場合
JR常磐線水戸駅北口⑤番乗り場から
茨城交通「水戸医療センター」バス停下車　徒歩5分
JR常磐線水戸駅南口⑥番乗り場から
関東鉄道「水戸医療センター」バス停下車　徒歩5分
〇お車でお越しの場合
北関東自動車道　茨城町西ICから約15分
常磐高速道路水戸ICから約20分",https://www.cocoplala.jp/
やまがたすこやかランド 三太の湯,茨城県常陸大宮市諸沢5071,4.0点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:00更新","午前10時～午後9時まで
※入館締切りは午後8時になります。","■利用料金
大人700円(土日祝1,000円)
子供350円(土日祝500円)
2歳以下無料
【夜間16時以降】
大人500円　子供250円　2歳以下無料

タオル、バスタオル(有料)
料金につきましては、消費税込みの表示となっております。","JR水郡線山方宿駅からタクシーで15分
水戸から118号を大子町方面に北上する。約40分程で常陸大宮市に入る。山方トンネルの手前の交差点を右折。このあたりからノボリや立看板を目印に。",http://www.santanoyu.server-shared.com/
ビアスパーク しもつま,茨城県下妻市長塚乙70-3,3.4点,"[{'館内全体': 'やや空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:00更新","10:00～21:00
家族風呂
11:00～20:00（最終受付19時）","■利用料金
大　人　　　 700円
小学生　　　 400円
【回数券】
大　人　　5枚2,500円
10枚4,500円

【パスポート】
1　年　　45,000円
6ヶ月　　25,000円
3ヶ月　　17,000円
※１日のご利用ごとに、別途で
入湯税150円を頂戴いたします。

【家族風呂】
1時間　2,000円
※受付は温泉フロントへ[最終受付　19:00]


下妻市在住の70歳以上の方
身体障害者手帳持参者の方及び介護者1名の方は
入湯税免除金額550円とさせていただきます。
料金につきましては、消費税込みの表示となっております。","関東鉄道常総線下妻駅からタクシーで10分
常磐自動車道　谷和原ICから約50分
北関東自動車道　桜川筑西ICから約50分",https://beerspark.com/
いちの湯 古河店,茨城県古河市坂間185-1,4.0点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:18更新",平日　9：00～24：00（最終受付23:00）、土日祝：7:00～24:00（最終受付23:00）,"■利用料金

大人　一般　730円[土日祝　830円]
会員　630円[土日祝　730円]
子供　一般　390円[土日祝　450円]
会員　350円[土日祝　390円]
・3才以下のお子様は無料、小学6年生まで子供料金でご入浴できます。

回数券10枚綴り
大人　5,900円
子供　3,300円
※会員様限定販売となっております。
※毎月６の付く日は風呂の日の為、回数券割引販売‼‼
5.900円⇒5,700円まとめ買いのチャンスです。

朝風呂割引料金
大人　一般　570円
会員　550円
子供　一般　通常料金
会員　通常料金
・平日は9:00-10:00、土日祝日は7:00-10:00までの間に
ご入館されたお客様は朝風呂料金でご利用いただけます。
・滞在時間の制限はございません。

レンタルご入浴用品
レンタルタオルセット　310円[バスタオル+ハンドタオル]
レンタル館内着　　　　310円

お得なサービスデー！
毎月５日　女性の日　　　550円
毎月10日　男性の日　　　550円
毎月15日　シニアの日　　550円[ドリンク付き]
毎月22日　夫婦の日　　1,200円[ドリンク付き]

会員様限定
お食事付きプラン　　1,100円
※入浴料＋お食事＋お飲み物のセット料金です。
※お食事つきプランの券の販売は9:00～21:00、
お食事は10:00～22:45までの受付となっています。

岩盤浴お食事プラン　1.300円
※入浴料＋岩盤浴＋お食事のセット料金です。
※岩盤浴プランの券の販売は9:00～20:00、
岩盤浴は10:00～21:00までの受付となっています。
※ご利用は中学生以上となります。

岩盤温熱 美癒汗
大人　一般　580円
会員　480円
※岩盤浴はご来店時、カウンターにてご予約ください。
※別途ご入浴料金が必要となります。
※ご利用は中学生以上となります。

岩盤浴回数券
05枚綴り　一般　2,600円
会員　2,200円

料金につきましては、消費税込みの表示となっております。","JR宇都宮線古河駅から3km 古河駅西口から古河市循環バス「ぐるりん号」（8:53/10:10/11:27/12:44/14:01:16:46発）に乗ると、「坂間自治会議所入口」で降車しすぐ
東北自動車道加須ICを降りて125号線を古河方面へ、利根川の栗橋交差点で左折して4号線に入る。すぐの利根川橋南詰交差点を右折して利根川を渡って左車線から左折してまっすぐ2km先右手",http://itinoyu.com/koga/index.html
湯楽の里 取手店（ゆらのさと）,茨城県取手市寺田5001-2,3.9点,"[{'館内全体': '空いている'}, {'男性エリア': 'やや空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 10:59更新",通年  午前9時～深夜1時　（最終受付　深夜0時30分）,"■利用料金
◆入館料
大人（中学生以上）
平日：650円（会員570円）
土・休日・特定日：700円（会員620円）
小人（3歳～小学生以下）
平日：250円（会員200円）
土・休日・特定日：300円（会員250円）
料金につきましては、消費税込みの表示となっております。","JR常磐線取手駅西口より「守谷駅東口行き」 または「谷田部車庫行き」バス乗車、「取手市役所入口」下車徒歩10分
国道6号を柏から取手方向へ向かい、国道294号を左折。取手市役所の隣、道路右側に「ゆ」の看板が目印。",https://www.yurakirari.com/yura/toride/
湯楽の里 土浦店（ゆらのさと）,茨城県土浦市真鍋新町20-43,4.2点,"[{'館内全体': 'やや空いている'}, {'男性エリア': 'やや空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:00更新",通年  午前9時～深夜1時　（最終受付　深夜0時30分）,"■利用料金
◆入浴料
大人（中学生以上）
平日：710円（会員610円）
土・休日・特定日：810円（会員710円）
小人（0歳～小学生以下）
平日：330円（会員280円）
土・休日・特定日：380円（会員330円）
入浴回数券（会員）5,700円（10枚つづり）
料金につきましては、消費税込みの表示となっております。","JR常磐線土浦駅　西口6番バス乗り場より「神立駅行き」もしくは「協同病院行き」乗車、「真鍋新町」にて下車徒歩2分。

※バスによって停留所を通過する便があるため、乗車の際に停留所をご確認ください。

（東京方面からお越しの場合）
国道6号線「原の前」交差点先の側道を左へ下り、交差点を右折。すぐ先「中村陸橋下」奥側の交差点を左折し約2.5ｋｍ先「市民会館入口」交差点を右折。直進約800ｍ右側。
常磐自動車道　桜土浦ＩＣより国道354号線を土浦・霞ヶ浦方面へ約1.6ｋｍ直進。「中村陸橋下」奥側の交差点を左折し約2.5ｋｍ先、「市民会館入口」交差点を右折。直進約800ｍ右側。
（水戸方面からお越しの場合）
国道6号線「中貫工業団地入口」交差点先の側道を左へ入り、約3ｋｍ先「市民会館入口」交差点を左折。直進約800ｍ右側。
常磐自動車道　土浦北ＩＣより土浦・霞ヶ浦方面へ直進し、約1.5ｋｍ先陸橋手前の本線を左に下り、「若松町」交差点を右折。国道125号線を約1.5ｋｍ直進し、「市民会館入口」交差点を左折。直進約800ｍ右側。",https://www.yurakirari.com/yura/tsuchiura/
湯楽の里 日立店（ゆらのさと）,茨城県日立市河原子町1-1-6,4.4点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 09:00更新","通年  午前9時～深夜1時　（最終受付　深夜0時）

お食事処「ごちそう屋」は下記の時間でご利用いただけます。
月～木・日　10時～23時(L.022時)
金・土・祝前日　10時～24時(L.023時)","■利用料金
◆入館料
大人（中学生以上）
平日：780円
土・休日・特定日：880円
小人（0歳～小学生以下）
平日：370円
土・休日・特定日：470円
カード入館回数券　6,800円（10回分）
◆岩盤浴
ご利用時間：9時30分～22時50分
受付時間：9時～22時（受付終了）
利用料金：420円
※フリータイム制（専用着とジャンボタオル付き）
■カード利用
可
料金につきましては、消費税込みの表示となっております。","JR常磐線常陸多賀駅から徒歩15分
国道245号線沿い、河原子十字路から北に400m",https://www.yurakirari.com/yura/hitachi/
ひたちなか温泉 喜楽里 別邸（きらり別邸）,茨城県ひたちなか市大字市毛640番地2,4.7点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 08:00更新","通年  営業時間は変更になっている場合があります。詳細は店舗までお問合せください。
午前8時～深夜0時（最終受付23:00）","■利用料金
◆入館料（すべてレンタルタオルセット込み）
【大人】（中学生以上）
●ゆったりコース（入館・入浴＋レンタル館内着・大判タオル付）
平日：1,260円
土・休日・特定日：1,420円
●シンプルコース（入館・入浴のみ）
平日：940円
土・休日・特定日：990円
【小学生】
●シンプルコース（入館・入浴のみ）
平日：620円
土・休日・特定日：720円
カード入館回数券　9,100円（10回分）／入館・入浴のみ
※回数券初回購入時のみメンバーズカード作成料100円が別途必要となります。
料金につきましては、消費税込みの表示となっております。","JR水戸駅より北口バス乗り場(3)より「勝田営業所」行き乗車、「筑波台」停留所より徒歩約5分
JR勝田駅より東口バス乗り場(3)より「茨大前営業所」行き乗車、「筑波台」停留所より徒歩約5分
JR勝田駅西口より3km（タクシーで約8分)
◎水戸方面から・・・国道6 号線『筑波台南』交差点を左折して150ｍ直進した左手
◎日立方面から・・・国道6 号線『市毛十字路』交差点を右折、200ｍ先の「富士書店」を左折、道なりに300ｍ行った正面に見えます。",https://www.yurakirari.com/kirari/hitachinaka/
つくば温泉 喜楽里 別邸（きらり べってい）,茨城県つくば市西大橋614-1,4.5点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 09:14更新",9:00～24:00（最終受付23:00）,"■利用料金
◆入館料
大人（中学生以上）
平日：1,050円
土・休日・特定日：1,250円
小学生（未就学児入館不可）
平日：650円
土・休日・特定日：750円
カード入館回数券　9,800円（10回分）
※回数券初回購入時のみメンバーズカード作成料100円が別途必要となります。
◆温熱房（岩盤浴）※レンタル岩盤浴着・大判タオル付
平日：300円
土・休日・特定日：330円
料金につきましては、消費税込みの表示となっております。","電車でお越しの方
「研究学園駅」南口より徒歩約15分
お車でお越しの方
「研究学園駅」方面から県道19号線「八千代橋西」交差点を右折。
谷田部方面から県道19号線を研究学園方面へ。「八千代橋西」交差点左折。",http://www.yurakirari.com/kirari/tsukuba/index.html
いちの湯 水戸店,茨城県水戸市河和田3丁目2300-1,4.4点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 11:20更新",平日：9:00～24:00（最終受付23:00）、土日祝：7:00～24:00（最終受付23:00）,"■利用料金

【平日】
おとな：590円、こども：320円
【土日祝日】
おとな：690円、こども：360円
【朝風呂割引料金】
おとな：500円　子供：通常料金
・平日は朝9:00から10:00
土日祝日は7:00から10:00までの間にご入館された
お客様は朝風呂料金でご利用いただけます。
・滞在時間の制限はございません。
【入浴回数券】
おとな：5,700円　こども：3,000円

・3才以下のお子様は無料、
小学6年生までこども料金でご入浴できます。
※浴場の水質保全、安全管理のため、おむつ
トレーニングパンツ（パンツ型オムツ）を
しているお客様は、こども・おとなに係わらず
浴場入室をお断りいたします。

お得なサービスデー！
毎月５日　女性の日　　　500円
毎月10日　男性の日　　　500円
毎月15日　シニアの日　　500円(ドリンク付き)
毎月22日　夫婦の日　　1,050円(ドリンク付き)

平日限定お食事つきプラン
980円
・入浴料＋お食事＋お飲み物
※※お食事つきプランの券の販売は9:00～21:00、
お食事は10:00～22:45までの受付となっています。

料金につきましては、消費税込みの表示となっております。","JR常磐線赤塚駅から1.7km（徒歩20分）
常磐自動車道水戸ICから水戸市街方面へ50号を2.5km、高架を渡った直後の「赤塚小南」交差点を右折してすぐ左手",http://itinoyu.com/mito
