施設名,住所,評価 (5点満点),混雑状況 (😄空いている、😃やや空いている、😐普通、😰やや混雑、🥵混雑),営業時間,価格,アクセス,公式HP
源気温泉 万博おゆば,大阪府吹田市千里万博公園11-11,2.9点,"2021/07/28(水) 21:00更新 / [{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}]","通年  当面の間営業時間を変更いたします。
全日10時～21時（最終受付20時30分）
詳しくは公式サイトをご覧ください。
年中無休午前10時から翌午前1時(受付午前0時まで)","◆通常料金
＜大人（中学生以上）＞
平日　　800円（会員750円）
土日祝　900円（会員850円）
＜小人（4歳～小学生・会員/一般）＞
平日 400円
土日祝　450円
＜乳幼児（3歳以下）＞100円
＜入浴回数券（会員）＞
10枚綴り：7,200円
※入浴回数券は会員の方のみご購入いただけます。
＜その他＞
レンタルタオル：250円

◆岩盤浴
・50分コース　　　：700円
・25分お試しコース：400円
50分コースは入浴回数券がご利用いただけます。（入浴される方に限ります。）
時間はフロントにてご確認ください。
※岩盤浴のみのご利用はできません。","阪急千里線 山田駅、または大阪モノレール山田駅より徒歩10分
中国自動車道 吹田ICより万博記念公園外周道路を記念公園西口方面へ5分",http://oyuba.com/banpaku/
サウナ＆カプセル アムザ,大阪府大阪市中央区千日前2-9-17,3.3点,"2021/07/28(水) 21:00更新 / [{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}]","当面の間営業時間を短縮して営業いたします。詳しくは公式サイトをご覧ください。
【レストラン】
12:00-25:30[最終受付25:00]
【アカスリ】
14:00-23:00[最終受付22:30]
※日曜13:00-20:00
【オイルトリートメント】
平日15:00-26:00
金曜15:00-28:00
土曜14:00-28:00
日曜14:00-22:00

※当面の間、営業時間を短縮。
※ボディケア、フットケアは
通常営業しております。","レギュラーコース：2,100円
※サウナ・スパ、その他共用施設（カプセルフロア以外）を
ご利用いただけます。

1時間コース：1,100円
※在館が1時間を過ぎると、自動的にレギュラーコースへ移行いたします。

深夜料金：600円
※23時以降は、レギュラーコース＋深夜料金を頂戴いたします。

サウナ早朝コース：1,400円
※朝5時～朝10時の間に入館するとお得です。

延長料金：300円
※館内利用が15時間を越えた場合は、1時間ごとに自動で加算されます。
(最大朝10時まで(閉店))

サウナ回数券10枚： 18,000円：1回あたり：1,800円
カプセル回数券5枚：15,500円：1回あたり：3,100円","大阪メトロ、近鉄・阪神線「なんば」駅から徒歩3分。
大阪メトロ、近鉄線「日本橋」駅より徒歩3分。
南海線「難波」駅より徒歩6分。
JR「難波」駅より徒歩10分。
なんばウォーク（地下街）B21出口を上がってすぐ。",http://www.daitoyo.co.jp/spa/amza/
天然温泉 ひなたの湯,大阪府大阪市淀川区三国本町1-6-15ドルチェヴィータ新大阪9F,3.5点,"2021/07/28(水) 21:00更新 / [{'館内全体': '😐'}, {'男性エリア': '😃'}, {'女性エリア': '😃'}]","下記の通り営業時間が変更になっております。
日～金曜日　6:00～25:00（24:00受付終了）
土曜日　8:00～25:00（24:00受付終了）
※利用できるロッカーを減らしておりますので、 混雑時には入館をお待ち頂く場合がございます。
＜飲食コーナー＞
日～金曜日　7:00～20:00（19:30受付終了）
土曜日　8:00～20:00（19:30受付終了）
※アルコールドリンクは全日11:00～19：00にて提供致します。

日～金曜日　午前6:00～25:00（24:00受付終了）
土曜日　午前8:00～25:00（24:00受付終了）","大人（中学生以上）　　　　平日800円・土日祝900円
小人（4 歳以上小学生以下）400円
3歳以下　　　　　　　　　　無料

回数券11枚綴り　　　　　8,000円
※回数券1枚で、小人2名様のご利用できます。

店頭販売品
フェイスタオル・バスタオル　レンタルセット　250円
歯ブラシセット　　　　50円
ヘアブラシ　　　　　　100円
フェイスタオル　　　　170円（ポーチ付）
ナイロンタオル　　　　200円
カミソリ　　　　　　　50円
ヘアパック　　　　　　100円
スムース・ベンデール　400円
スキンケアセット　　　200円
（クレンジング、洗顔料、化粧水、乳液）","地下鉄新大阪駅4番出口より徒歩10分,ホテル大阪ガーデンパレス前
国道176号線からお越しの場合は、「新高1」交差点を新大阪駅方面に東進し、四つ目の交差点右折すぐになります。
新御堂筋（国道423号線）を梅田方面からのお越しの場合は、新御堂筋を千里方面へ進んでいただいて、「三国」出口を降ります。信号を左折し、四つ目の交差点を左折すぐになります。
また、千里方面からお越しの場合は、新御堂筋を大阪方面へ進んでいただいて、「東三国」出口を降ります。そのまま直進し、新大阪駅手前の「 宮原1」交差点を右折し、 四つ目の信号を左折すぐになります。",http://www.hinatanoyu.com/
神門湯処 湯快のゆ 門真店,大阪府門真市三ツ島6-21-9,2.9点,"2021/07/28(水) 21:00更新 / [{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}]","平日のみ営業しております。
8時～20時
詳しくは公式サイトをご覧ください。
平日8：00～23：00[最終受付22:15]
土日祝・特定日6：00～23：00[最終受付22:15]
※営業時間を短縮しています。","＜入館料金＞
【平日8：00～25：00】
・大　人：770円（会員：740円）
・小学生：360円
・3歳以上小学生未満：260円
・3歳未満：無料
【土日祝・特定日6：00～25：00】
・大　人：870円（会員：820円）
・小学生：410円
・3歳以上小学生未満：310円
・3歳未満：無料
※最終入館受付 深夜24：15
※大人は中学生以上となります。
回数券7,700円
朝回数券5,200円
※レンタルタオルセット(バスタオル・フェイスタオル)は250円でご用意しております。
※小学校3年生以上の混浴はお断りさせていただきます。

＜岩盤浴レンタル＞
【平日8：00～24：00】
・大　人：520円
【土日祝・特定日8：00～24：00】
・大　人：570円
※岩盤浴は中学生以上の方がご利用いただけます。
※専用スーツとバスタオルのセット料金のみとなります。","京阪「古川橋駅」より徒歩20分、もしくは門真団地行き三島団地前バス停下車すぐ
大阪中央環状線「桑才新町」交差点入る、府道21号線「江端南」交差点入る",http://yukainoyu.jp/kadoma/
湯快のゆ 寝屋川店,大阪府寝屋川市池田中町32-22,3.3点,"2021/07/28(水) 21:00更新 / [{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}]","平日のみ下記時間で営業しております。
8時～20時
詳しくは公式サイトをご覧ください。
平日 / 8:00-23:00土日祝 / 6:00-23:00（入浴受付は22:15まで）","大人平日770円（会員740円）土日祝870円（会員820円）
小学生平日360円　土日祝410円
３歳以上小学生未満平日260円　土日祝310円

岩盤浴　平日620円　土日祝670円
※岩盤浴は中学生以上の方がご利用いただけます。
※専用スーツとバスタオルのセット料金のみとなります。回数券7,700円","京阪寝屋川市駅より徒歩20分（駅より無料送迎バス運行）
府道13号京都守口線沿い、菅原神社を東へすぐ",http://yukainoyu.jp/neyagawa/
天然温泉 風の湯 新石切店,大阪府東大阪市西石切町7-1-25 辰野牧岡第2ビル,2.6点,"2021/07/07(水) 12:36更新 / [{'館内全体': '😄'}, {'男性エリア': '😄'}, {'女性エリア': '😄'}]","通年  当面の間営業時間を変更いたします。
全日10時～21時（最終受付20時30分）
詳しくは公式サイトをご覧ください。
朝10:00～深夜1:00","平日
大人（中学生以上）　　　700円（会員640円）
中人（小学生）　　　　　360円（会員330円）
小人（ 3歳～小学生未満）110円
土日祝
大人（中学生以上）　　　750円（会員670円）
中人（小学生）　　　　　410円（会員330円）
小人（ 3歳～小学生未満）110円
岩盤浴（中学生以上）　　650円（会員620円）
※（専用の作務衣・バスタオル料込）
※岩盤浴・岩塩浴はフリータイム制です。
入浴回数券10枚綴り（会員のみ）　6,200円

※入浴用品、タオルなどは、ご持参いただくか、店内にてご購入ください。","近鉄東大阪線新石切駅から中央大通を西へ、被服団地前交差点を右折、2筋目を左折、左側。徒歩10分
阪神高速東大阪線水走出口から中央大通を東へ、被服団地前交差点を左折、2筋目を左折、左側。約1分",http://tsurukame-oe.xsrv.jp/kazenoyu-shinishikiri/
天然露天温泉スパスミノエ,大阪府大阪市住之江区泉1-1-82 ゴルフスミノエ内,4.0点,"2021/04/28(水) 18:46更新 / [{'館内全体': '営業時間外'}, {'男性エリア': '営業時間外'}, {'女性エリア': '営業時間外'}]",午前10時～深夜2時（最終受付深夜1時）,"大人（中学生以上）平日670円、土日祝770円
小人（4才～小学生）平日330円、土日祝380円
3歳以下無料

入浴回数券 10枚綴り　6,200円
子供回数券 05枚綴り　1,550円
※土日祝もご利用できます","大阪市営地下鉄住之江公園駅徒歩3分
阪神高速玉出出口県道29号1.5km",http://www.spasuminoe.jp/
天然温泉 なにわの湯,大阪府大阪市北区長柄西1-7-31 遊湯パークビル8F,3.4点,"2021/07/28(水) 21:00更新 / [{'館内全体': '😐'}, {'男性エリア': '😰'}, {'女性エリア': '😐'}]","＜月～金＞
10：00～25：00（最終受付24：00）
＜土曜・日曜＞
8：00～25：00（最終受付24：00）","大人（中学生以上）800円
小人（小学生）400円
乳幼児（0才～未就学児）150円

タオル：150円
バスタオル：500円
ヘアーブラシ：100円
歯ブラシセット：50円
カミソリセット：100円","大阪市営地下鉄堺筋線・谷町線／阪急千里線「天神橋筋六丁目駅」下車5番出口より北へ徒歩8分
阪神高速守口線長柄出口から天満橋筋･城北公園通りを天神橋筋8丁目方面へ1km",http://www.naniwanoyu.com/
堺浜楽天温泉 祥福（しょうふく）,大阪府堺市堺区築港八幡町1-1（堺浜シーサイドステージ内）,3.4点,"2021/05/13(木) 11:44更新 / [{'館内全体': '😄'}, {'男性エリア': '😄'}, {'女性エリア': '😄'}]","下記内容で営業を再開しております。
朝9時～深夜1時（最終受付0時）
レストランに関しては20時までの時短営業
金・土・祝前日はオールナイト営業
土・日・祝日は朝風呂営業を行っております。

月曜日〜木曜日　9:00〜AM2:00
金・土・祝前日　オールナイト営業！
※翌朝8:45までカプセルでの宿泊なしでもお楽しみいただけます。

土・日・祝AM6:00〜（朝風呂）","月曜日～木曜日※深夜2時以降は宿泊者のみとなり閉館。
＜入館料＞
大人　750円
小人　370円

＜入浴料+祥汗房＞
大人　1,550円
小人　　970円

＜カプセルでの宿泊＞
大人　4,200円(パック料金)
※宿泊料金は入館料+祥汗房+カプセル料金です。

金曜・土曜・祝前日
＜入館料＞
大人　750円
小人　370円

＜入浴料+祥汗房＞
大人　1,550円
小人　　970円

＜深夜料金＞
祥汗房なし　+1,800円(大人のみ)
祥汗房込み　+1,000円(大人のみ)

＜カプセルでの宿泊＞
大人　4,200円(パック料金)

※宿泊料金は入館料+祥汗房+カプセル料金です。

朝風呂(6:00-9:00)
大人　650円
小人　320円

貸しタオル：100円
貸しバスタオル：160円
手ぶらセット：210円","南海堺駅より南海バス堺東行利用約20分
阪神高速湾岸線三宝山口より約2km",http://www.syofukunoyu.com/sakaihama/index.html
楽天風呂 祥福乃湯 (旧・祥福の湯),大阪府堺市西区浜寺船尾町東3-301,2.7点,"2021/05/18(火) 08:00更新 / [{'館内全体': '😄'}, {'男性エリア': '😄'}, {'女性エリア': '😄'}]","下記内容で営業を再開しております。
朝9時～深夜1時（最終受付0時）
レストランに関しては20時までの時短営業

9:00～深夜2:00(最終受付深夜1:00)※土・日・祝は朝6時から深夜2時","＜入館料＞
・大人(中学生以上)：750円
・小人(3歳以上)：370円
・シルバー(65歳以上)：650円

＜入館料＋祥汗房＞
大人(中学生以上)1,450円
シルバー(65歳以上)1,350円
※要身分証提示(免許証・保険証等年齢がわかるもの)
※小学生以下のお客様はご利用頂けません

＜レンタル品＞
貸しタオル 100円
貸しバスタオル 150円
貸してぶらセット 210円","JR阪和線津久野駅より徒歩15分、南海本線諏訪の森駅より徒歩15分、阪堺線船尾駅より徒歩10分
大阪方面から阪神高速堺線 堺出口を出ずに直進し、26号線、船屋東2交差点を左折",http://www.syofukunoyu.com/honten/syofuku.html
