施設名,住所,評価 (5点満点),混雑状況 (😄空いている、😃やや空いている、😐普通、😰やや混雑、🥵混雑),営業時間,価格,アクセス,公式HP
美楽温泉 SPA-HERBS（スパハーブス）,埼玉県さいたま市北区植竹町1-816-8,4.4点,"2021/07/27(火) 14:12更新 / [{'館内': '😃'}, {'男湯': '😃'}, {'女湯': '😄'}, {'岩盤浴エリア': '😄'}, {'レストラン 美楽亭': '😄'}, {'フィットネスエリア': '😐'}]","※只今営業時間を変更しております。
【営業時間】9時～25時（最終入館：24時迄）
詳しくは公式サイトをご覧ください。  9:00～25:00（最終受付24:00）
岩盤浴 9:00～24:00","※各施設の営業時間を変更しております。
詳しくは公式サイトをご覧ください。

【入浴のみ（タオル、館内着別）】
大　人　1,045円[土日祝　1,265円]
子　供　　550円[土日祝　　660円]
シニア　1,045円[土日祝　1,265円]

【お風呂+岩盤浴+タオル】
大　人　1,650円[土日祝　2,310円]
シニア　1,540円[土日祝　2,200円]

大人⇒中学生以上
子供⇒4歳-小学生
シニア⇒60歳以上[要証明]
※3歳以下のお子様の入館料は無料です。オムツの取れていないお子様は脱衣所、浴場に入れません。
【会員のご案内】
入会金　　330円

※ご本人様のみの適用となります。

【その他の料金】
・タオルセット　　　　　220円
・フェイスタオル　　　　110円
・館内着　　　　　　　　220円
・ヘアアイロン貸出30分　110円","JR「土呂駅」から徒歩9分
旧中山道（県道164号線）上尾方面へ。さいたま市北区役所交差点右折し、ステラタウン前
JR大宮駅西口よりシャトルバスあり
ＪＲ大宮駅西口を出てＳＯＧＯ方面へ向かいます。ビックカメラ手前の階段から下に降り、信号を公園の方にお渡りください。パレスホテル大宮側に向かうとすぐにバス停がございます。",http://spa-herbs.jp/
竜泉寺の湯 草加谷塚店（そうかやつか）,埼玉県草加市谷塚上町476,4.4点,"2021/07/27(火) 14:12更新 / [{'玄関': '😃'}, {'男湯': '😄'}, {'女湯': '😄'}, {'レストラン': '😄'}, {'岩盤浴': '😃'}]","【ご入浴】
朝5:00～深夜2:00 （最終受付　深夜1:30）
【岩盤浴】
朝5:00～深夜1:30 （最終受付　深夜1:00)
【朝風呂】
朝5:00〜朝9:00までに入場された方","【大人（中学生以上）】
朝風呂（朝5:00～9:00）680円
通常750円
【小人 （小学生）】
入浴300円
【幼児 （4歳以上のお子様）】
入浴100円 ※3才以下のお子様無料

岩盤浴（最終受付深夜1:00）650円
※中学生からご利用できます。
※ご利用時間無制限
※岩盤浴のみのご利用は出来ません。



貸しタオルセット:300円、館内着レンタル:300円
※岩盤浴は中学生からご利用できます。
※岩盤浴のみのご利用は出来ません。","・草加駅、竹ノ塚駅より送迎バスあり
・谷塚駅より徒歩約20分
・東京外環自動車道「草加」インターより約15分
・川口線「新郷」出入口より約15分
・三郷線「八潮南」出入り口より約15分",http://ryusenjinoyu.com/souka/
杉戸天然温泉 雅楽の湯（うたのゆ）,埼玉県北葛飾郡杉戸町杉戸2517,4.3点,"2021/07/27(火) 14:12更新 / [{'館内': '😐'}, {'男湯': '😃'}, {'女湯': '😃'}, {'岩盤処': '😃'}, {'みやび（食事処）': '😄'}, {'irodori（ビュッフェ）': '😐'}, {'足湯': '😄'}, {'うたたね処': '😰'}]",通年  10:00～24:00(最終受付 23:30),"大人
【10:00-19:00】
平　日　1,100円[貸タオルセット+館内着付]
土日祝　1,200円[貸タオルセット+館内着付]
【ビッフェ料金】
全　日　1,680円

子供
【10:00-24:00】
平　日　　700円[貸タオルセット付き]
土日祝　　800円[貸タオルセット付き]
【ビッフェ料金】
全　日　　小学生1,000円[※小学生未満　700円]","東武伊勢崎線「東武動物公園駅（東口）」より送迎バスあり
圏央道　幸手ICから約7分。
東北自動車道 岩槻ＩＣから約30分。久喜ICから約20分。",https://utanoyu.com/
熊谷天然温泉 花湯スパリゾート,埼玉県熊谷市上之1005,4.5点,"2021/07/27(火) 14:12更新 / [{'館内': '😐'}, {'男湯': '😃'}, {'女湯': '😄'}, {'岩盤浴エリア': '🥵'}, {'レストラン': '😄'}, {'リラックスルーム': '😐'}]","【日～木】
午前10:00 ～午後11:00（最終入館 午後10:30）
【金・土・祝前日】
午前10:00 ～ 翌午前9:00（最終入館 深夜1:00）
【朝風呂】
午前6:00～午前9:00
※現在営業時間を変更しております。
10：00～23：00（最終受付22：30）
以下のサービスは休止しております
・岩盤浴ヨガ","【ご入浴コース】
平日大人750円　小人400円
土日祝大人850円　小人500円
【温泉cafeネストコース】（レンタル岩盤マット、館内着付き）
平日：600円
土日祝：700円
【朝風呂】（最終入館8:30 9:00退館）
大人：600円
小人：400円

レンタルタオルセット：200円
レンタル館内着追加：200円
レンタル岩盤マット追加：200円

【その他のアメニティ】
コンディショナ、化粧水、メイク落とし洗顔

貸切個室[露天壺湯付]
2時間　3,800円
3時間　5,400円
4時間　6,800円
最大　12,000円","JR「熊谷」駅から国際十王交通「犬塚・犬塚行」に乗車、「宿裏」下車後徒歩約5分
熊谷駅より車",http://hanayuspa.jp/
天然温泉 花鳥風月（かちょうふうげつ）,埼玉県日高市下大谷沢546,3.7点,"2021/07/27(火) 14:13更新 / [{'館内': '😃'}, {'花鳥の湯': '😐'}, {'風月の湯': '😃'}, {'レストラン': '😄'}]","10:00～22:00（最終受付　21:00）
※2020年7月1日から営業時間を変更いたします。
10：00～21：00（最終受付20：00）
＜レストラン＞
11：00～21：00（ＬＯ20：00）
＜湯上り美人・利楽＞
10：30～21：00（ＬＯ20：00）","※2020年6月1日からしばらく営業内容を変更する予定です。料金など詳しくは公式サイトをご覧ください。
＜大人（中学生以上）＞
平日880円、土日祝1,080円
＜小人（3歳～小学生）＞
平日600円、土日祝700円

※入館料にタオルは含まれておりません。
レンタルタオルセット：250円
回数券（10枚綴り）8,000円","■東武東上線「鶴ヶ島駅」西口下車　東武バス「サイボクハム」行き終点
■JR川越線「笠幡駅」下車　東武バス「サイボクハム」行き終点
■西武新宿線「狭山市駅」西口下車　西武バス「サイボクハム」行き終点
圏央道 狭山･日高ICを川越方面に降り、1つ目信号を左折、国道407号線に入り、田木交差点を右折、道なりに約5分",http://www.saiboku.co.jp/kachofugetsu/
日々喜の湯,埼玉県上尾市中分2-180-1,3.3点,"2021/07/27(火) 14:00更新 / [{'館内全体': '😃'}, {'男性エリア': '😃'}, {'女性エリア': '😄'}]","日曜日～木曜日　10時～24時
金曜日・土曜日　10時～25時","＜大人（中学生以上）＞
平日：700円、土日祝：800円
＜子ども（3歳以上）＞
平日：350円、土日祝：400円
※3歳未満は入館無料。
※年齢にかかわらずおむつ着用の方は入浴不可。おむつの取れていないお子さまは、浴室内のベビーバスをご利用ください。

＜入浴+岩盤浴セット（岩盤着持込）+150円＞
平日：850円、土日祝：950円
＜入浴+岩盤浴セット（岩盤着レンタル）+350円＞
平日：1,050円、土日祝：1,150円
※岩盤浴のご利用は中学生以上に限ります。

＜お風呂付貸切個室＞
3時間：4,000円
延長：1時間1,000円","圏央道桶川北本インターチェンジから5km。
上尾道路を南に4km進み左折。突き当りを右折し1つ目の信号を左折。
大石北部集落農業センター前の交差点を右折し道なりに進めば右手の建物が見えてきます。

上尾市西口より市内循環バス「平方丸山公園線」に乗り、「中分2丁目」で下車。または、上尾市西口より市内循環バス「大石領家北上尾線」に乗り、「中分」で下車。",http://hibikinoyu.com/
よしかわ天然温泉ゆあみ,埼玉県吉川市保1-14-5,3.9点,"2021/07/27(火) 14:00更新 / [{'館内全体': '😐'}, {'男性エリア': '😃'}, {'女性エリア': '😃'}]",10：00～23：00（最終受付22時30分）,"【入場料】
大人：平日1,000円、土日祝1,100円
子ども（3歳～小学生）：平日350円、土日祝450円

【岩盤浴】
30分450円
60分600円
120分700円
岩盤浴は浴衣とタオルマット付

館内着：300円
貸タオル：60円、貸バスタオル：120円
※館内着は大人用のみとなります。
※歯ブラシ・ヒゲ剃り等は脱衣所の自動販売機にて販売しております。","JR武蔵野線 吉川駅よりすぐ
東京外環自動車道 外環三郷西ICより国道298号、県道葛飾吉川松伏線経由6km",http://www.yuami.com/
おふろcafé utatane（おふろカフェ うたたね）,埼玉県さいたま市北区大成町4丁目179-3,3.0点,"2021/07/27(火) 14:00更新 / [{'館内全体': '😄'}, {'男性エリア': '😄'}, {'女性エリア': '😄'}]","【入館/入浴】
10:00～翌9:00（最終受付 翌8:30）
【Cafe】
11:00～24:00（ラストオーダー23:30）
【aura （タイ古式・ボディケア）】
10:00～26:00（最終受付25:30）
【aura （あかすり）】
10:00～26:00（最終受付25:30）
【宿泊】
18:00 ～翌10:00（最終受付24:00）

※深夜2:00～5:00の間はご入浴ができません。
※ご宿泊者様は、9:00～10:00の間、1階共有部及び浴室はご利用できません。
※午後18時以降の16歳未満のみでのご利用、午後22時以降の18歳未満のみでのご利用はご遠慮いただいております。（保護者同伴の場合、深夜2時までご利用いただけます。）
※新型コロナウイルス感染防止のため、営業時間が変更になっております。詳しくは公式サイトをご覧ください。","【フリータイム入館】
大人　一般　1,386円（休日1,518円）
会員　1,188円（休日1,320円）
深夜料金　 +924円

小人　一般　　693円（休日759円）
会員　　594円（休日660円）
深夜料金　利用不可

※10:00-翌9:00
※館内着・タオル付きです。
※深夜2:00₋5:00の時間帯を利用される場合は
別途、深夜料金が必要です。
※深夜2:00₋5:00の間は入浴不可。
※3歳未満は無料です。ただしオムツまたは
トレーニングパンツ着用の方のご入浴は不可。
ベビーバスをご利用ください。

【時間制限入館】
・60分
大人　550円
小人　275円
※受付は25:00まで

・90分
大人　748円
小人　374円
※受付は24:30まで

・120分
大人　924円
小人　462円
※受付は24:00まで

※10:00-26:00[最終受付25:00]
※タオルセット200円
館内着　　　200円でお貸ししております。
※館内着・タオルは付いておりません。
※深夜2:00₋5:00の間は入浴不可。
※3歳未満は無料です。ただしオムツまたは
トレーニングパンツ着用の方のご入浴は不可。
ベビーバスをご利用ください。


【朝風呂入館】
大人　499円
小人　249円
※5:00-9:00[最終受付8:30]
※3歳未満は無料です。ただしオムツまたは
トレーニングパンツ着用の方のご入浴は不可。
ベビーバスをご利用ください。
※タオルセット200円
館内着　　　200円でお貸ししております。


【個室でお昼寝プラン】
1名様　3,740円～

※金額には、フリータイム入館料が含まれております。


【仮眠室プラン】
1名様　フリータイム入館料+深夜料金+2,090円～
※共有仮眠室利用となります。
※仮眠室は、個室利用とは異なります。
18歳未満の方はご利用いただけません。","大宮駅より埼玉新都市交通「ニューシャトル」 鉄道博物館駅（大成駅）より線路沿いを北に向かって徒歩約10分
国道17号線「大成橋南側」信号すぐ 首都高速「与野JCT」から約10分 東北自動車道「岩槻IC」から約20分",http://ofurocafe-utatane.com/
所沢温泉 湯楽の里（ゆらのさと）,埼玉県所沢市下富604,3.8点,"2021/07/27(火) 12:55更新 / [{'館内全体': '😃'}, {'男性エリア': '😃'}, {'女性エリア': '😃'}]","通年  午前9時～深夜1時（最終受付深夜0時30分）

お食事処「ごちそう屋」は営業時間が変更になっている場合がございます。
詳細は店舗までお問い合わせください。","◆入館料
大人（中学生以上）
平日：790円（会員690円）
土・休日・特定日：920円（会員820円）
小人（0歳～小学生以下）
平日：420円（会員370円）
土・休日・特定日：470円（会員420円）
◆入館回数券（会員）6,500円（10枚つづり）
◆岩盤浴（フリータイム制）
420円
岩盤浴回数券（会員）1,800円（5枚つづり）
※15歳未満の方はご利用いただけません。
※浴衣・バスタオルを含みます。","西武新宿線新所沢駅から「本川越」または「西武フラワーヒル」行きバスで10分少々、「下富」バス停下車、徒歩5分。
県道6号線（川越所沢線）「下富」交差点より400ｍ",https://www.yurakirari.com/yura/tokorozawa/
北本温泉 湯楽の里（ゆらのさと）,埼玉県北本市二ツ家3-162-1,3.8点,"2021/07/27(火) 13:00更新 / [{'館内全体': '😄'}, {'男性エリア': '😄'}, {'女性エリア': '😄'}]","通年  営業時間は変更になっている場合があります。詳細は店舗までお問合せください。
午前9時～深夜1時　（最終受付　深夜0時30分）","◆入館料
大人（中学生以上）
平日：820円（会員720円）
土・休日・特定日：870円（会員770円）
小人（0歳～小学生以下）
平日：420円（会員370円）
土・休日・特定日：470円（会員420円）
入館回数券（会員）6,200円（10枚つづり）
◆岩盤浴　フリータイム制
420円（時間制限無くご利用になれます。）
岩盤浴回数券（会員）1,850円（5枚つづり）
※専用着バスタオルを含みます。","JR高崎線桶川駅から朝日バス鴻巣駅行きで10分、二ツ家下車徒歩3分
東北自動車道加須ICから国道17号を北本市街方面へ14km",https://www.yurakirari.com/yura/kitamoto/
