施設名,住所,評価(5点満点),混雑状況,営業時間,価格,アクセス,公式HP
新宿天然温泉　テルマー湯（てるまーゆ）,東京都新宿区歌舞伎町1-1-2,4.6点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 12:00更新","2021年7月11日まで時間変更して営業いたします。
全日10時～20時（最終受付/19時）
詳しくは公式サイトをご覧ください。
10時～23時（最終受付/22時）","■利用料金
通常料金 2,405円
会員料金 2,185円
深夜早朝料金（AM0:00～AM9:00 在館）
＋1,100円

休日料金（土曜日・日曜日・祝日・特定日）
＋880円
中学生以上18歳未満（AM5:00～PM20:00）
2,405円
岩盤浴ヒーリングテラ料金（PM12:00～AM0:00）
825円

＊入館料には入湯税（¥150）.館内専用ウエア
タオルレンタル料が含まれます。
＊18歳未満の方のご利用は、保護者同伴のもと
20:00までとさせていただきます。
＊岩盤浴、屋上をご利用される方は申し込みが必要です。
＊深夜24:00から翌9時在館の方のご利用料金
（深夜早朝料金1,100円含む）となります。


【ご利用に際して】
※当館は中学生以上の方を対象とした施設です。
※12歳以上[小学生不可]
※18歳未満のお客様のご利用は身分証明書をご提示頂き
保護者同伴のもと
20:00までのご利用とさせていただきます。
※ご飲食の持ち込み禁止。
※ご清算前の途中退館はお断りさせて頂いております。
料金につきましては、消費税込みの表示となっております。","・都営新宿線、東京メトロ丸ノ内線・副都心線 「新宿三丁目」駅E1出口より 徒歩約2分
・JR線「新宿駅」東口より 徒歩約9分
・東京メトロ副都心線、都営大江戸線 「東新宿」駅A3出口より 徒歩約9分",https://thermae-yu.jp/
両国湯屋江戸遊,東京都墨田区亀沢1-5-8,4.7点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 12:18更新","2021年6月1日より平日のみ営業いたします。
11：00～20：00
土日は休館いたします。
午前11時～翌朝9時","■利用料金
【一般大人料金】
2,750円
【中人料金（12歳以上18歳未満）】
2,050円
【大人会員料金】
2,350円
【深夜追加料金】（深夜1:00～6:00のあいだ）
1時間ごと340円、深夜1時～6時まで最大5時間分加算

＜朝風呂（午前6：00～8：00）＞
【一般大人料金】
1,250円
【中人料金（12歳以上18歳未満）】
950円
＊朝風呂は8時までがご利用可能時間です。8時を過ぎますと、入館料は通常入館料となります。

＜短時間利用＞
1時間1,250円
＊1時間を過ぎますと、一般料金2,750円となります。

＜ラドン岩盤浴「風」＞
1日1,000円
料金につきましては、消費税込みの表示となっております。","JR総武線 両国駅より徒歩5分、または都営大江戸線 両国駅A3・A4出口より徒歩1分
7号小松川線 錦糸町出入口より国道14号線経由、両国橋方面へ緑一丁目交差点右折150m先左手",https://www.edoyu.com/ryougoku/
浅草ROXまつり湯（ロックスまつりゆ）,東京都台東区浅草1-25-15浅草ROX6･7Ｆ,3.5点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 12:13更新","2021年7月11日まで時間を変更して営業いたします。
全日10:30～20:00
館内施設の営業時間など詳しくは公式サイトをご覧ください。","■利用料金
【一般入館料】
大人（中学生以上）：2,750円
小人（4才-小学生）：1,375円
【会員入館料】
大人（中学生以上）：2,365円
小人（4才-小学生）：　960円

【休日割増料金（土・日・祝日および特定日）】
大人・小人共プラス330円
【深夜割増料金】
30分毎（24：00～5：00）/275円増

【お得な回数券】
05枚綴り　12,925円[会員　9,980円]
11枚綴り　27,500円[会員　21,390円]


料金につきましては、消費税込みの表示となっております。","つくばエクスプレス「浅草駅」A1出口より徒歩１分
東京メトロ 銀座線「田原町駅」より徒歩５分
都営浅草線・東武伊勢崎線「浅草駅」より徒歩８分
首都高速道路入谷ICより言問通り経由約5分",http://www.matsuri-yu.com/
昭島温泉　湯楽の里（ゆらのさと）,東京都昭島市美堀町3-14-10,3.8点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 09:05更新","通年  営業時間が変更になっている場合がございます。詳しくは公式サイトをご覧ください。
午前9時～深夜1時（最終受付　深夜0時30分）","■利用料金
◆入館料
大人（中学生以上）
平日：850円（会員750円）
土・休日・特定日：960円（会員850円）
小人（0歳～小学生以下）
平日：420円（会員370円）
土・休日・特定日：470円（会員420円）
入館回数券（会員）6,900円（10枚つづり）
◆岩盤浴　楽蒸洞(らくじゅどう)【フリータイム制】
利用時間9時30分～23時30分
（受付時間9時～23時）
利用料金：420円
※岩盤浴着・大判タオルを含みます。
※15歳以上から利用可能
料金につきましては、消費税込みの表示となっております。","JR昭島駅　JR・西武拝島線拝島駅　より徒歩20分
JR昭島駅南口2番乗り場　「西砂川循環」（立川バス）乗車、「拝島上水橋」停留所下車　すぐ
中央道八王子ICより 東京環状/国道16号線 経由20分",https://www.yurakirari.com/yura/akishima/
国立温泉　湯楽の里（ゆらのさと）,東京都国立市泉3-29-11（フレスポ国立南内）,4.2点,"[{'館内全体': '空いている'}, {'男性エリア': '空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 09:05更新","通年
営業時間が変更になっている場合がございます。詳しくは公式サイトをご覧ください。
午前9時～深夜1時（最終受付　深夜0時）","■利用料金
◆入館料
大人（中学生以上）
平日：870円
土・休日・特定日：980円
小人（0歳～小学生）
平日：430円
土・休日・特定日：530円
カード入館回数券　8,200円（10回分）
※回数券初回購入時のみメンバーズカード作成料100円が別途必要となります。
■カード利用
可
料金につきましては、消費税込みの表示となっております。","ＪＲ南武線「矢川駅」または、多摩モノレール 「万願寺駅」より徒歩約１５分
中央道国立府中ＩＣより約1.5㎞",https://www.yurakirari.com/yura/kunitachi/
板橋天然温泉 スパディオ,東京都板橋区宮本町49-4,4.0点,"[{'館内全体': '空いている'}, {'男性エリア': 'やや空いている'}, {'女性エリア': '空いている'}] 
 2021/07/26(月) 12:00更新","2021年8月22日まで下記時間で営業いたします。
全日10：00～20：00
お食事処あさ凪のアルコール提供再開 は18：45まで。
（2021年7月12日～8月22日はアルコール提供終日無しとなります。）
詳しくは公式サイトをご覧ください。
10：00～23：00（最終受付22：30）","■利用料金

一般入館料金
※バスタオル・フェイスタオル　館内着含む
大人　2,260円
小人（小学6年生まで）　1,420円

夜割入館料18時～22時30分（最終受付）
※バスタオル・フェイスタオル含む　（館内着なし）
大人　1,420円
小人（小学6年生まで）　880円

※無料Wi-Fi　設置
※入れ墨、タトゥ（シール・フェイク含む）、泥酔者、おむつ（トレーニングパンツ含む）を着用している方のご入館・ご入浴はお断りいたします。
※保護者の有無にかかわらず10歳以上、または125㎝以上の異性更衣室・浴室のご利用はお断りいたします。
※安全・衛生管理上の為、車いす・カート（補助含む）の館内・浴室内でのご利用はお断りいたします。
また、ご入浴にあたり補助を要する場合は、同伴者が必要となります。
※杖の浴室内でのご利用はお断りいたします。
※生理中の方の浴室内のご利用はお断りいたします。
※ご自身で入館手続き・入浴・トイレを確実に行えない方のご利用はお断りいたします。
※途中退館はできません。
料金につきましては、消費税込みの表示となっております。","都営地下鉄三田線「板橋本町」駅A4出口下車、徒歩約8分
東武東上線「ときわ台」駅北口下車、徒歩約17分
国際興業バス「清水町バス停」下車、徒歩約4分
＜無料送迎バス＞
東武東上線 ときわ台駅北口より
都営三田線 西台駅東口より",http://www.spadio.com/
THE SPA 西新井（ザ・スパ西新井）,東京都足立区西新井栄町1-17-10 セントラルウェルネスタウン3階,3.6点,"[{'男性 浴室・ロッカー': '空いている'}, {'男性 サウナエリア': '空いている'}, {'女性 浴室・ロッカー': '空いている'}, {'女性 サウナエリア': '空いている'}, {'３階 岩盤浴': '空いている'}, {'４階エリア': '空いている'}] 
 2021/07/26(月) 12:00更新","営業時間を短縮しております。詳しくは公式サイトをご覧ください。
11:00～翌9：00（最終入館8：30）","■利用料金

◆大人（中学生以上）◆
＜平日＞
一般：1,038円
湯ったりスパ倶楽部：936円

＜土・日・祝日＞
一般：1,252円
湯ったりスパ倶楽部：1,151円

◆小人（3歳～小学生）◆
＜平日＞
一般：519円
湯ったりスパ倶楽部：468円

＜土・日・祝日＞
一般：620円
湯ったりスパ倶楽部：570円

深夜料金（23：30～9：00の時間帯でご利用のお客様）上記の入館料+2,200円
朝風呂（6：30～9：00の時間だけご利用のお客様）
大人550円 小人275円

※深夜料金をお支払いの方は朝風呂料金はかかりません。
※2：00～6：30の時間は浴室清掃の為ご入浴、及びシャワーブースのご利用はできません。
※「湯ったりスパ倶楽部」にご入会いただくと、館内を湯ったりスパ倶楽部料金でご利用いただけます。 （登録料金205円/有効期間1年間）
レンタル料金　レンタルタオル204円、館内着204円、タオル＆館内着セット306円

◆入館回数券◆
11枚綴り　9,420円（土・日・祝日も利用可）
料金につきましては、消費税込みの表示となっております。","東武スカイツリーライン「西新井駅」西口より徒歩3分
環状７号線より満願寺前を曲がり、西新井西口方面へ 西新井駅前　ショッピングモール　パサージオ裏手",http://www.central.co.jp/thespa/nishiarai/
【男性専用】安心お宿 秋葉原電気街店,東京都千代田区東京都外神田1丁目2-12,0.0点,"[{'浴場': 'やや空いている'}] 
 2021/07/26(月) 12:57更新",24時間,"■利用料金
■基本入浴＋全自動マッサージチェア＋フリードリンク付（2時間)：1,680円
■基本入浴＋全自動マッサージチェア＋フリードリンク付（早朝5:00～24:00迄のお好きな10時間)：2,180円

※延長料金：15分130円（税込）＋フリードリンク付（早朝5:00～24:00迄のお好きな10時間)：2,180円

※延長料金：15分130円（税込）
料金につきましては、消費税込みの表示となっております。",JR秋葉原駅・電気街口から中央通りに出て、万世橋方面へ徒歩120秒,https://www.anshin-oyado.jp/akihabara/
【男性専用】安心お宿プレミア 新宿駅前店,東京都新宿区新宿4丁目2-10,3.5点,"[{'浴場': '空いている'}] 
 2021/07/26(月) 12:58更新",24時間,"■利用料金
■基本入浴（2時間）：1,680円
全自動マッサージチェア＋フリードリンク付
■基本入浴（3時間）：2,180円
全自動マッサージチェア＋フリードリンク付
※延長料金：15分165円
料金につきましては、消費税込みの表示となっております。","JR「新宿駅」東南口から徒歩90秒
JR「新宿駅」南口から徒歩3分
東京メトロ「新宿三丁目駅」(E5出口)から徒歩5分",https://www.anshin-oyado.jp/shinjuku/
【男性専用】安心お宿 新橋駅前店,東京都港区新橋3丁目21-6,0.0点,"[{'浴場': '非表示'}] 
 2021/07/26(月) 12:58更新",24時間,"■利用料金
～2時間まで：1,680円(税込)
～10時間まで：2,680円(税込)
★レンタルタオルや館内着付き
★全自動マッサージチェア利用無料
★癒しカフェにてソフトドリンク飲み放題
料金につきましては、消費税込みの表示となっております。",新橋駅より徒歩約30秒,http://www.anshin-oyado.jp/shinbashi/
